CODICE	DESCRIZIONE	COORDX	COORDY
pv0523	STAZIONE 4	511432,156	5003895
pv0524	E. FILIBERTO Studenti	512696,969	5004019
pv0525	E. FILIBERTO Centro Piazza	512701,156	5004033,5
pv0526	ABBIATEGRASSO Ist. A. Volta	510671,906	5005171,5
pv0527	MONTEMAINO Mantegazza	513882,281	5007602,5
pv0528	Cava Manara 26 APRILE civ. 9	509200,812	4998807
pv0529	Cava Manara GRAMSCI civ. 30	508608,031	4998650
pv0530	Cava Manara GARIBALDI civ. 134	507959,938	4998646,5
pv0531	Cava Manara DEI LIGURI	508178,625	4998321,5
pv0532	Cava Manara VITTORIO EMANUELE	508667,125	4998650
pv0533	Cava Manara 26 APRILE civ. 22	509242,344	4998785
pv0534	MONTEMAINO Mantegazza	513861,812	5007579,5
pv0535	EMILIA	513431,844	5004825
pv0536	MARCHESI Emilia	513594,688	5004717
pv0537	Torre d'Isola MASSAUA Riviera	507829,844	5005634,5
pv0538	Torre d'Isola Cascina S. SOFIA	507404,375	5005975
pv0539	Torre d'Isola CHIESA	506113,906	5006962
pv0540	Torre d'Isola Cascina S. SOFIA	507402,75	5005961
pv0541	Torre d'Isola MASSAUA Riviera	507772,188	5005660
pv0542	PASTRENGO	514605,938	5004415,5
pv0543	Cura Carpignano LAVORO	517182,125	5006138
pv0544	Cura Carpignano PAIOLA Artigiani civ. 3	517247,562	5005749,5
pv0545	FOSSARMATO Chiesa	517327,719	5004558,5
pv0546	TROVAMALA	517265,469	5004364
pv0547	PASTRENGO Lodi	514703,594	5004038
pv0549	LODI Ponzio	515929,469	5004099,5
pv0550	TROVAMALA	517272,156	5004349,5
pv0551	FOSSARMATO Chiesa	517380,844	5004693,5
pv0552	Cura Carpignano PAIOLA Artigiani	517216,25	5005714
pv0553	Cura Carpignano PAIOLA Carlesca	517423,219	5005851
pv0554	PASTRENGO	514616,531	5004419
pv0555	Cura Carpignano POMA	520219,625	5006636,5
pv0556	Cura Carpignano DOSSO De Gasperi	520051,031	5006725,5
pv0557	Cura Carpignano DOSSO Della Spiga	519813,656	5006741,5
pv0558	Cura Carpignano PERTINI Repubblica	519664,594	5006583,5
pv0559	Cura Carpignano VENETO Vimanone	519926,562	5006472
pv0560	Cura Carpignano CADUTI IN GUERRA	520335,438	5006416,5
pv0561	RESISTENZA Ist. Bordoni	513061,156	5002966,5
pv0562	SCARPONE	516447,75	5001642,5
pv0563	SCARPONE Belvedere	516698,281	5001402
pv0564	Valle Salimbene CERVI Milano	517236,406	5001111,5
pv0565	Valle Salimbene CERVI Cimitero	517447,844	5000921,5
pv0566	Valle Salimbene CERVI Nobili	517847,406	5000572
pv0567	Linarolo SAN LEONARDO NOBILI civ. 125	518020,312	5000442,5
pv0568	Linarolo SAN LEONARDO NOBILI civ. 22	518186,594	5000353,5
pv0569	Linarolo VACCARIZZA PO civ. 40	518693,219	4999389,5
pv0570	Linarolo VACCARIZZA PO civ. 24	518825,219	4999428,5
pv0571	Linarolo OSPEDALETTO	520493,5	4999684
pv0572	Linarolo Cimitero	521168,75	5000390
pv0573	Linarolo DANTE	521213,719	5000564,5
pv0574	Linarolo CAVALLOTTI Gramsci	521255,219	5000883
pv0575	Linarolo CAVALLOTTI Buonarroti	521344	5001349
pv0576	Valle Salimbene STRADA BASSA	517706,594	5002271,5
pv0577	Valle Salimbene ROMA	517872,688	5002188,5
pv0578	Valle Salimbene VALLE civ. 22	518383,469	5002118
pv0579	Valle Salimbene MUNICIPIO	518370,938	5001876,5
pv0580	Valle Salimbene CERVI Vittorio Veneto	517840,406	5000606
pv0581	Valle Salimbene CERVI Cimitero	517451,375	5000949,5
pv0582	Valle Salimbene CERVI Milano	517249,25	5001130,5
pv0583	SCARPONE	516458,656	5001679
pv0590	San Martino CENTRO	509941	4999854
pv0591	SCARPONE Don Albertario	516647,5	5001462
pv0592	Travacò ROMA	512656,406	5000021
pv0593	Travacò DANTE ALIGHIERI	513002,125	5000058,5
pv0594	Travacò DANTE ALIGHIERI	513012,844	5000052,5
pv0595	Travacò ROMA	512661,438	5000005,5
pv0596	VIGENTINA Cassani	513485,625	5005830,5
pv0597	VIGENTINA Cassani	513502,844	5005861,5
pv0598	COLOMBARONE	509637,875	5004618
pv0599	MONTEGRAPPA Ist. Cossa	514157,812	5003075
pv0600	MONTEGRAPPA Ist. Cossa	514162,562	5003087
pv0601	CASCINAZZA Ferrata	510822,906	5005682,5
pv0602	CASCINAZZA Maugeri	510826,812	5005672,5
pv0603	CERVETERI Capri	513975,375	5004515,5
pv0604	CERVETERI	514021	5004522,5
pv0605	INDIPENDENZA-Parcheggio ASL 	512074,25	5004602,5
pv0606	FILZI Dante	511734,906	5004130,5
pv0607	MARCHESI Basilicata	513731,5	5004968
pv0608	LIBERTA'	511535,406	5003610
pv0609	San Genesio PIEMONTE	514263,625	5009037
pv0801	Temp001	508616,938	4998636,5
pv0802	Temp002	508079,156	4998603,5
pv0803	Temp003	507421,562	4998807,5
pv0804	INDIPENDENZA-Parcheggio ASL 	512074	5004602
pv5001	Pavia -Bar Piave	511424,406	5003859,5
pv5002	Pavia -Porta Garibaldi (Bordoni)	513054,219	5003151
pv5003	Pavia -Porta Garibaldi (Bordoni)	513057,469	5003172
pv5004	Pavia-Corso Manzoni	511234,094	5003793,5
pv5005	Pavia-Corso Manzoni	511220,125	5003786,5
pv5006	Pavia - Ca della Terra	515048,25	5006053
pv5007	Pavia - Ca della Terra	515006,281	5006011
